academic	1999	969087	85591
academic	2000	1060970	95703
academic	2001	1021107	93297
academic	2002	1145576	104997
academic	2003	1175600	107487
academic	2004	1296218	110565
academic	2005	1220628	107771
academic	2006	1253056	110494
academic	2007	1237962	114366
academic	2008	1172971	111207
academic	2009	1141637	111224
academic	2010	1083727	107727
below	2000	3417327	183157
below	2001	3370617	178984
below	2002	3458639	195359
below	2003	3679446	203191
below	2004	3637384	210548
below	2005	3391646	200381
below	2006	3544118	210625
below	2007	3620319	215136
below	2008	3534872	226293
below	2009	3294819	226023
below	2010	3201997	216685
beach	2001	433047	54563
beach	2002	473138	59651
beach	2003	509624	62779
beach	2004	520737	67518
beach	2005	500817	65420
beach	2006	531945	68582
beach	2007	559759	73782
beach	2008	581867	79799
beach	2009	635718	84901
beach	2010	675099	84436
beach	2011	729411	91319
economically	1995	318281	64133
economically	1996	302342	64768
economically	1997	285008	64525
economically	1998	284406	64151
economically	1999	276042	64105
economically	2000	294258	69625
economically	2001	280798	67155
economically	2002	300849	73228
economically	2003	300915	73524
economically	2004	297675	75169
economically	2005	282795	71181
economically	2006	277791	70788
economically	2007	280292	72956
economically	2008	262591	69009
economically	2009	240138	65852
economically	2010	222744	61486
economically	2011	200502	58369
economically	2012	263854	72976
economically	2013	296483	80911
economically	2014	229537	64838
economically	2015	199509	56535